Epoch,Originale_Train_Loss,Nostra_Train_Loss,Originale_Test_Loss,Nostra_Test_Loss,Originale_Test_Acc,Nostra_Test_Acc,Originale_Test_F1,Nostra_Test_F1
82,0.1793,0.2807,0.3914,0.2684,87.3,89.85,86.78,87.35
83,0.1702,0.218,0.4411,0.3141,86.24,88.58,85.99,87.44
84,0.1741,0.2205,0.4131,0.2949,87.47,89.07,86.39,86.13
85,0.1665,0.2561,0.42,0.272,87.2,89.85,86.74,86.42
86,0.1664,0.2493,0.416,0.2691,86.92,89.94,86.82,86.65
87,0.1632,0.2413,0.4815,0.263,86.32,90.14,86.08,86.74
88,0.1643,0.2453,0.4334,0.2572,87.1,90.41,86.39,87.23
89,0.1596,0.2429,0.4746,0.292,85.98,89.65,85.55,86.32
90,0.1583,0.309,0.42,0.4686,87.28,77.79,86.86,74.92
91,0.1552,0.3836,0.5245,0.4821,85.14,78.34,85.16,74.9
92,0.1544,0.3613,0.4669,0.4487,86.87,81.92,86.33,78.46
93,0.1511,0.2759,0.5288,0.2899,86.22,89.05,85.8,86.09
94,0.1524,0.242,0.5166,0.2788,87.08,89.79,86.4,86.61
95,0.1519,0.2385,0.5047,0.298,86.84,89.39,85.96,86.3
96,0.1473,0.2371,0.6014,0.2819,85.63,89.8,84.8,86.78
97,0.1461,0.2388,0.5843,0.2809,84.65,89.81,84.72,87.28
98,0.1428,0.234,0.5721,0.2924,86.06,89.67,85.96,86.89
99,0.1429,0.233,0.5268,0.3013,87.08,89.56,85.92,86.78
100,0.1445,0.2309,0.5621,0.2886,86.6,89.35,85.75,86.8
101,0.1436,0.2295,0.6076,0.2903,85.43,89.88,85.17,86.99
102,0.142,0.2293,0.5723,0.3048,86.76,89.58,85.98,86.63
103,0.1433,0.2311,0.5472,0.3086,86.3,88.94,85.78,87.03
104,0.1384,0.2297,0.6235,0.2942,85.69,89.91,85.7,87.47
105,0.1366,0.2298,0.5693,0.2836,86.81,90.0,85.77,87.18
106,0.1343,0.2261,0.6218,0.2978,86.07,89.31,85.6,86.89
107,0.1373,0.2319,0.5068,0.2853,86.79,89.26,86.53,87.44
108,0.1343,0.2248,0.5952,0.293,87.01,89.55,86.05,87.28
109,0.1348,0.2211,0.5009,0.3031,87.58,89.43,86.44,87.34
110,0.1343,0.2238,0.7202,0.2923,85.46,89.58,85.0,87.63
111,0.1339,0.222,0.7171,0.3367,85.45,88.61,84.7,86.64
112,0.1309,0.2255,0.5691,0.3082,86.82,89.08,86.14,87.29
113,0.1299,0.2331,0.7028,0.3299,85.28,88.44,84.96,86.44
