Configuration,Type,epochs,batchsize,k,numlayers,numneurons,lr,seed,best_test_f1,best_test_acc,final_test_f1,final_test_acc,best_train_f1,best_train_acc,final_train_f1,final_train_acc,min_test_loss,final_test_loss,epochs_to_best,total_epochs,convergence_speed,stability
New_Test1,new,300,64,40,5,64,0.0005,42,72.273,74.924,64.354,66.502,74.789,77.219,74.204,76.597,0.7513,0.8981,6,107,0.056074766355140186,0.7912718594487963
New_Test2,new,50,64,50,7,128,0.01,42,86.213,89.706,4.109,15.302,85.416,87.976,11.274,18.434,0.2793,2.0924,3,24,0.125,0.004427188724235805
New_Test3,new,50,64,50,7,128,0.005,42,87.194,90.372,86.495,89.976,86.577,89.797,84.367,87.402,0.2387,0.2574,19,35,0.5428571428571428,0.4403806434337381
New_Test4,new,50,64,70,7,128,0.01,42,86.867,90.129,4.102,15.268,86.937,89.701,13.24,19.066,0.2572,2.0894,14,35,0.4,28.15479976230617
New_Test5,new,50,64,70,7,128,0.005,42,87.235,90.538,86.703,90.074,87.481,90.21,87.481,90.21,0.2417,0.2902,18,37,0.4864864864864865,8.83499932779976
New_Test6,new,300,64,40,5,64,0.0005,42,87.838,90.219,87.333,88.131,92.785,93.494,92.785,93.494,0.26,0.5007,53,115,0.4608695652173913,0.171008641756944
New_TestBuono,new,300,64,40,5,64,0.001,42,88.02,90.42,86.441,88.436,91.128,92.308,87.746,90.2,0.2493,0.3299,74,114,0.6491228070175439,0.3827253729648865
Original_Test1,original,100,64,30,5,64,0.0005,42,87.27,90.552,85.925,87.084,93.005,93.668,92.8,93.535,0.2489,0.5268,38,100,0.38,0.7005194897756636
Original_Test2,original,300,64,30,5,64,0.0005,42,87.27,90.552,85.362,86.036,94.1,94.649,94.075,94.649,0.2489,0.7248,38,138,0.2753623188405797,0.5178009162688769
